Engine_Supplier_Region,Engine_Transport_Mode,Is_Critical_Engine,Transmission_Supplier_Region,Transmission_Transport_Mode,Is_Critical_Transmission,Brake_System_Supplier_Region,Brake_System_Transport_Mode,Is_Critical_Brake_System,Suspension_Supplier_Region,Suspension_Transport_Mode,Is_Critical_Suspension,Infotainment_Supplier_Region,Infotainment_Transport_Mode,Is_Critical_Infotainment,Car_Delayed,Engine_Delayed_Flag,Transmission_Delayed_Flag,Brake_System_Delayed_Flag,Suspension_Delayed_Flag,Infotainment_Delayed_Flag,Any_Critical_Part_Delayed,Order_Urgency,Holiday_Proximity,Weather_Condition_On_Delivery,Strike_Notice,Production_Shift,Total_Parts_Delayed,Route_Type,Distance_KM,Traffic_Level,Supplier_Performance_Score,Contract_Penalty_Per_Day,Engine_Supplier_Group,Transmission_Supplier_Group,Brake_System_Supplier_Group,Suspension_Supplier_Group,Infotainment_Supplier_Group,Engine_Reliability_Score,Transmission_Reliability_Score,Brake_System_Reliability_Score,Suspension_Reliability_Score,Infotainment_Reliability_Score,Traffic_Severity_Index,Month_Scheduled,Quarter_Scheduled,Sum_Critical_Parts_Delayed
WEST,SEA,1,SOUTH,SEA,1,EAST,AIR,0,SOUTH,AIR,1,SOUTH,ROAD,0,0,1,0,1,0,0,1,HIGH,0,RAIN,0,EVENING,2,MIXED,198.15020119949705,LOW,0.64,500,WEST_SEA,SOUTH_SEA,EAST_AIR,SOUTH_AIR,SOUTH_ROAD,0.2435897435897435,0.3163265306122449,0.3835616438356164,0.2891566265060241,0.2988505747126437,1.0,3,1,1
SOUTH,SEA,0,EAST,SEA,1,SOUTH,ROAD,1,SOUTH,ROAD,1,SOUTH,ROAD,1,1,1,1,0,0,1,1,MEDIUM,1,RAIN,0,MORNING,3,RURAL,444.6994935115216,LOW,0.11,1000,SOUTH_SEA,EAST_SEA,SOUTH_ROAD,SOUTH_ROAD,SOUTH_ROAD,0.3164556962025316,0.3424657534246575,0.2888888888888888,0.2244897959183673,0.2988505747126437,1.0,3,1,2
WEST,ROAD,0,WEST,AIR,1,EAST,ROAD,0,SOUTH,SEA,1,WEST,AIR,1,1,1,1,0,1,0,1,MEDIUM,0,RAIN,0,EVENING,3,RURAL,324.3894887922088,LOW,0.48,250,WEST_ROAD,WEST_AIR,EAST_ROAD,SOUTH_SEA,WEST_AIR,0.2435897435897435,0.2790697674418604,0.2602739726027397,0.2183908045977011,0.3409090909090909,1.0,3,1,2
WEST,SEA,1,WEST,SEA,0,WEST,AIR,0,SOUTH,AIR,1,NORTH,SEA,1,1,0,1,0,1,1,1,MEDIUM,0,CLEAR,0,MORNING,3,MIXED,153.22020591298133,HIGH,0.24,100,WEST_SEA,WEST_SEA,WEST_AIR,SOUTH_AIR,NORTH_SEA,0.2435897435897435,0.2839506172839506,0.2842105263157894,0.2891566265060241,0.3246753246753247,1.5,3,1,2
EAST,SEA,1,EAST,AIR,0,SOUTH,SEA,1,WEST,SEA,0,WEST,SEA,1,1,0,1,1,1,0,1,MEDIUM,0,RAIN,1,MORNING,3,URBAN,57.80525752009288,LOW,0.3,500,EAST_SEA,EAST_AIR,SOUTH_SEA,WEST_SEA,WEST_SEA,0.2435897435897435,0.3285714285714285,0.2826086956521739,0.2352941176470588,0.4,1.0,3,1,1
EAST,AIR,1,EAST,ROAD,1,SOUTH,SEA,1,WEST,AIR,1,SOUTH,AIR,1,1,0,0,1,0,0,1,MEDIUM,0,RAIN,0,EVENING,1,RURAL,438.7672935630217,LOW,0.16,100,EAST_AIR,EAST_ROAD,SOUTH_SEA,WEST_AIR,SOUTH_AIR,0.2435897435897435,0.2790697674418604,0.2826086956521739,0.3218390804597701,0.3375,1.0,3,1,1
WEST,SEA,1,SOUTH,ROAD,0,WEST,ROAD,0,NORTH,AIR,1,WEST,ROAD,1,0,1,1,0,0,0,1,LOW,0,STORM,0,EVENING,2,URBAN,75.3381918986766,LOW,0.96,100,WEST_SEA,SOUTH_ROAD,WEST_ROAD,NORTH_AIR,WEST_ROAD,0.2435897435897435,0.3055555555555556,0.2717391304347826,0.3116883116883117,0.3555555555555555,1.0,3,1,1
NORTH,ROAD,1,SOUTH,ROAD,1,SOUTH,SEA,1,NORTH,SEA,0,EAST,AIR,0,1,1,0,1,0,0,1,MEDIUM,1,RAIN,0,MORNING,2,URBAN,30.760283054598283,MODERATE,0.3,1000,NORTH_ROAD,SOUTH_ROAD,SOUTH_SEA,NORTH_SEA,EAST_AIR,0.2926829268292683,0.3055555555555556,0.2826086956521739,0.1969696969696969,0.2988505747126437,1.2,3,1,2
WEST,SEA,1,SOUTH,ROAD,0,WEST,ROAD,0,NORTH,AIR,1,WEST,ROAD,1,0,1,1,0,0,0,1,LOW,0,STORM,0,EVENING,2,URBAN,11.964105709794056,MODERATE,0.67,500,WEST_SEA,SOUTH_ROAD,WEST_ROAD,NORTH_AIR,WEST_ROAD,0.2435897435897435,0.3055555555555556,0.2717391304347826,0.3116883116883117,0.3555555555555555,1.2,3,1,1
WEST,ROAD,1,SOUTH,ROAD,0,SOUTH,ROAD,1,NORTH,ROAD,0,EAST,ROAD,0,1,1,0,0,1,1,1,MEDIUM,1,CLEAR,0,MORNING,3,RURAL,487.791543752616,MODERATE,0.33,250,WEST_ROAD,SOUTH_ROAD,SOUTH_ROAD,NORTH_ROAD,EAST_ROAD,0.2435897435897435,0.3055555555555556,0.2888888888888888,0.2688172043010752,0.2988505747126437,1.2,3,1,1
EAST,ROAD,1,EAST,ROAD,0,NORTH,AIR,1,EAST,ROAD,1,WEST,AIR,1,1,0,0,1,1,1,1,MEDIUM,0,STORM,0,EVENING,3,RURAL,205.5117868525758,MODERATE,0.46,500,EAST_ROAD,EAST_ROAD,NORTH_AIR,EAST_ROAD,WEST_AIR,0.3026315789473684,0.2790697674418604,0.2602739726027397,0.2647058823529412,0.3409090909090909,1.2,3,1,3
WEST,AIR,1,NORTH,ROAD,1,EAST,ROAD,1,EAST,ROAD,0,NORTH,SEA,1,1,1,1,1,1,1,1,MEDIUM,0,CLEAR,0,NIGHT,5,RURAL,320.74891537422684,MODERATE,0.85,1000,WEST_AIR,NORTH_ROAD,EAST_ROAD,EAST_ROAD,NORTH_SEA,0.3461538461538461,0.3291139240506329,0.2602739726027397,0.2647058823529412,0.3246753246753247,1.2,3,1,4
WEST,SEA,0,NORTH,ROAD,1,SOUTH,ROAD,0,NORTH,ROAD,1,SOUTH,AIR,0,0,1,0,0,0,1,0,HIGH,0,CLEAR,0,EVENING,2,MIXED,179.65373747594555,LOW,0.82,100,WEST_SEA,NORTH_ROAD,SOUTH_ROAD,NORTH_ROAD,SOUTH_AIR,0.2926829268292683,0.3291139240506329,0.2888888888888888,0.2688172043010752,0.3375,1.0,3,1,0
SOUTH,SEA,1,WEST,ROAD,1,SOUTH,AIR,1,WEST,SEA,0,WEST,AIR,0,1,1,0,1,1,0,1,LOW,0,CLEAR,0,MORNING,3,URBAN,19.94267018182552,MODERATE,0.04,100,SOUTH_SEA,WEST_ROAD,SOUTH_AIR,WEST_SEA,WEST_AIR,0.3164556962025316,0.2790697674418604,0.2602739726027397,0.2352941176470588,0.3409090909090909,1.2,3,1,2
WEST,SEA,1,SOUTH,SEA,1,WEST,SEA,1,SOUTH,ROAD,1,NORTH,AIR,0,1,0,1,0,0,0,1,HIGH,0,CLEAR,0,MORNING,1,MIXED,85.5305838461723,HIGH,0.1,100,WEST_SEA,SOUTH_SEA,WEST_SEA,SOUTH_ROAD,NORTH_AIR,0.2435897435897435,0.3163265306122449,0.35,0.2244897959183673,0.325,1.5,3,1,1
NORTH,ROAD,1,SOUTH,SEA,1,WEST,AIR,1,SOUTH,SEA,1,WEST,SEA,0,0,1,1,1,1,1,1,MEDIUM,0,CLEAR,0,EVENING,5,RURAL,175.26944314271154,LOW,0.58,500,NORTH_ROAD,SOUTH_SEA,WEST_AIR,SOUTH_SEA,WEST_SEA,0.2926829268292683,0.3163265306122449,0.2842105263157894,0.2183908045977011,0.4,1.0,3,1,4
SOUTH,ROAD,1,EAST,ROAD,1,SOUTH,AIR,1,SOUTH,AIR,1,NORTH,SEA,0,1,0,1,1,0,1,1,LOW,0,CLEAR,0,EVENING,3,URBAN,72.6418556248413,MODERATE,0.0,250,SOUTH_ROAD,EAST_ROAD,SOUTH_AIR,SOUTH_AIR,NORTH_SEA,0.3214285714285714,0.2790697674418604,0.2602739726027397,0.2891566265060241,0.3246753246753247,1.2,3,1,2
EAST,SEA,1,NORTH,ROAD,1,WEST,ROAD,1,EAST,ROAD,1,EAST,ROAD,1,1,0,1,1,0,1,1,MEDIUM,0,CLEAR,0,NIGHT,3,RURAL,258.9576947046013,HIGH,0.36,1000,EAST_SEA,NORTH_ROAD,WEST_ROAD,EAST_ROAD,EAST_ROAD,0.2435897435897435,0.3291139240506329,0.2717391304347826,0.2647058823529412,0.2988505747126437,1.5,3,1,3
NORTH,ROAD,0,NORTH,ROAD,0,NORTH,AIR,1,EAST,SEA,1,EAST,SEA,1,1,1,0,1,1,0,1,HIGH,0,CLEAR,1,MORNING,3,MIXED,199.50452807794653,MODERATE,0.29,100,NORTH_ROAD,NORTH_ROAD,NORTH_AIR,EAST_SEA,EAST_SEA,0.2926829268292683,0.3291139240506329,0.2602739726027397,0.2391304347826087,0.2988505747126437,1.2,3,1,2
SOUTH,AIR,0,NORTH,AIR,1,WEST,SEA,0,EAST,SEA,0,WEST,ROAD,1,0,0,1,1,0,1,1,LOW,1,CLEAR,0,EVENING,3,URBAN,82.70613477471328,LOW,0.87,500,SOUTH_AIR,NORTH_AIR,WEST_SEA,EAST_SEA,WEST_ROAD,0.2702702702702703,0.2790697674418604,0.35,0.2391304347826087,0.3555555555555555,1.0,3,1,2
WEST,ROAD,1,SOUTH,SEA,1,NORTH,AIR,1,NORTH,ROAD,1,WEST,AIR,1,1,0,0,0,1,1,1,LOW,0,SNOW,0,MORNING,2,URBAN,99.67009038645226,MODERATE,0.12,500,WEST_SEA,SOUTH_SEA,NORTH_AIR,NORTH_ROAD,WEST_AIR,0.2926829268292683,0.3163265306122449,0.2602739726027397,0.2688172043010752,0.3409090909090909,1.2,3,1,2
WEST,SEA,1,WEST,SEA,0,EAST,SEA,1,WEST,AIR,0,SOUTH,SEA,1,0,1,1,1,1,0,1,HIGH,0,CLEAR,0,EVENING,4,MIXED,90.89360011003006,MODERATE,0.52,250,WEST_SEA,WEST_SEA,EAST_SEA,WEST_AIR,SOUTH_SEA,0.2435897435897435,0.2839506172839506,0.2602739726027397,0.3218390804597701,0.3452380952380952,1.2,3,1,2
WEST,AIR,1,NORTH,SEA,1,WEST,ROAD,0,EAST,ROAD,0,NORTH,SEA,1,1,1,1,1,1,1,1,MEDIUM,0,CLEAR,0,EVENING,5,RURAL,290.6758197632348,MODERATE,0.7,100,WEST_AIR,NORTH_SEA,WEST_ROAD,EAST_ROAD,NORTH_SEA,0.3461538461538461,0.4375,0.2717391304347826,0.2647058823529412,0.3246753246753247,1.2,3,1,3
EAST,AIR,1,SOUTH,ROAD,1,NORTH,AIR,1,WEST,ROAD,1,NORTH,AIR,0,1,0,1,1,1,1,1,MEDIUM,0,RAIN,0,EVENING,4,RURAL,225.61336387835985,HIGH,0.57,1000,EAST_AIR,SOUTH_ROAD,NORTH_AIR,WEST_ROAD,NORTH_AIR,0.2435897435897435,0.3055555555555556,0.2602739726027397,0.3563218390804598,0.325,1.5,3,1,3
EAST,ROAD,0,NORTH,SEA,1,WEST,ROAD,1,NORTH,AIR,1,WEST,SEA,0,0,0,1,1,0,1,1,HIGH,0,CLEAR,0,NIGHT,3,MIXED,175.71729344721655,MODERATE,0.68,250,EAST_ROAD,NORTH_SEA,WEST_ROAD,NORTH_AIR,WEST_SEA,0.3026315789473684,0.4375,0.2717391304347826,0.3116883116883117,0.4,1.2,3,1,2
WEST,ROAD,0,SOUTH,ROAD,0,EAST,ROAD,1,SOUTH,SEA,1,SOUTH,AIR,0,0,0,1,0,0,0,0,LOW,1,RAIN,0,EVENING,1,URBAN,98.62027655720574,MODERATE,0.69,100,WEST_ROAD,SOUTH_ROAD,EAST_ROAD,SOUTH_SEA,SOUTH_AIR,0.2435897435897435,0.3055555555555556,0.2602739726027397,0.2183908045977011,0.3375,1.2,3,1,0
SOUTH,SEA,0,SOUTH,AIR,1,SOUTH,SEA,1,SOUTH,SEA,1,NORTH,AIR,1,0,0,1,0,0,0,1,MEDIUM,0,STORM,0,EVENING,1,RURAL,341.78582114079256,MODERATE,0.67,100,SOUTH_SEA,SOUTH_AIR,SOUTH_SEA,SOUTH_SEA,NORTH_AIR,0.3164556962025316,0.3,0.2826086956521739,0.2183908045977011,0.325,1.2,3,1,1
SOUTH,SEA,1,NORTH,SEA,1,NORTH,AIR,0,WEST,ROAD,0,NORTH,AIR,1,0,0,0,0,1,0,0,MEDIUM,0,RAIN,0,MORNING,1,URBAN,33.19145996600923,MODERATE,0.6,100,SOUTH_SEA,NORTH_SEA,NORTH_AIR,WEST_ROAD,NORTH_AIR,0.3164556962025316,0.4375,0.2602739726027397,0.3563218390804598,0.325,1.2,3,1,0
EAST,ROAD,0,SOUTH,ROAD,1,SOUTH,SEA,1,SOUTH,SEA,0,NORTH,AIR,0,1,1,0,1,0,1,1,MEDIUM,1,CLEAR,0,MORNING,3,MIXED,149.04540795520072,HIGH,0.88,100,EAST_ROAD,SOUTH_ROAD,SOUTH_SEA,SOUTH_SEA,NORTH_AIR,0.3026315789473684,0.3055555555555556,0.2826086956521739,0.2183908045977011,0.325,1.5,3,1,1
WEST,ROAD,1,SOUTH,ROAD,1,SOUTH,ROAD,1,EAST,SEA,1,WEST,SEA,0,1,1,0,0,0,0,1,MEDIUM,0,SNOW,0,MORNING,1,MIXED,195.3653945211217,LOW,0.01,100,WEST_ROAD,SOUTH_ROAD,SOUTH_ROAD,EAST_SEA,WEST_SEA,0.2435897435897435,0.3055555555555556,0.2888888888888888,0.2391304347826087,0.4,1.0,3,1,1
SOUTH,ROAD,0,NORTH,AIR,0,NORTH,SEA,1,EAST,AIR,0,WEST,AIR,1,0,0,0,0,0,0,0,MEDIUM,0,SNOW,0,EVENING,0,RURAL,194.6997192723321,MODERATE,0.52,250,SOUTH_ROAD,NORTH_AIR,NORTH_SEA,EAST_AIR,WEST_AIR,0.3214285714285714,0.2790697674418604,0.2738095238095238,0.2528735632183908,0.3409090909090909,1.2,3,1,0
NORTH,SEA,1,WEST,AIR,0,SOUTH,SEA,1,EAST,AIR,1,WEST,ROAD,1,1,0,1,1,0,1,1,LOW,0,CLEAR,0,MORNING,3,URBAN,10.444598284096866,MODERATE,0.65,500,NORTH_SEA,WEST_AIR,SOUTH_SEA,EAST_AIR,WEST_ROAD,0.2894736842105263,0.2790697674418604,0.2826086956521739,0.2528735632183908,0.3555555555555555,1.2,3,1,2
NORTH,AIR,1,WEST,SEA,1,SOUTH,ROAD,0,WEST,AIR,1,NORTH,ROAD,1,0,0,0,0,1,0,1,MEDIUM,0,STORM,0,NIGHT,1,RURAL,416.3925379651053,MODERATE,0.6,250,NORTH_AIR,WEST_SEA,SOUTH_ROAD,WEST_AIR,NORTH_ROAD,0.3857142857142857,0.2839506172839506,0.2888888888888888,0.3218390804597701,0.3103448275862069,1.2,3,1,1
EAST,AIR,0,SOUTH,SEA,1,NORTH,ROAD,0,WEST,ROAD,0,WEST,ROAD,0,0,0,1,1,1,0,1,LOW,0,SNOW,0,MORNING,3,URBAN,71.02145373031573,MODERATE,0.72,100,EAST_AIR,SOUTH_SEA,NORTH_ROAD,WEST_ROAD,WEST_ROAD,0.2435897435897435,0.3163265306122449,0.3289473684210526,0.3563218390804598,0.3555555555555555,1.2,3,1,1
NORTH,SEA,1,NORTH,AIR,1,SOUTH,AIR,0,WEST,ROAD,0,SOUTH,ROAD,0,0,1,1,0,1,0,1,LOW,0,SNOW,0,EVENING,3,URBAN,26.25178106146002,MODERATE,0.67,250,NORTH_SEA,NORTH_AIR,SOUTH_AIR,WEST_ROAD,SOUTH_ROAD,0.2894736842105263,0.2790697674418604,0.2602739726027397,0.3563218390804598,0.2988505747126437,1.2,3,1,2
NORTH,ROAD,0,SOUTH,AIR,1,WEST,AIR,1,EAST,ROAD,0,WEST,ROAD,0,0,1,0,0,1,1,0,HIGH,0,CLEAR,0,MORNING,3,MIXED,124.27197905209614,LOW,0.55,100,NORTH_ROAD,SOUTH_AIR,WEST_AIR,EAST_ROAD,WEST_ROAD,0.2926829268292683,0.3,0.2842105263157894,0.2647058823529412,0.3555555555555555,1.0,3,1,0
EAST,SEA,1,WEST,SEA,1,WEST,ROAD,0,NORTH,SEA,1,SOUTH,SEA,0,0,1,0,1,0,0,1,HIGH,0,CLEAR,0,EVENING,2,MIXED,116.79578825039982,LOW,0.97,100,EAST_SEA,WEST_SEA,WEST_ROAD,NORTH_SEA,SOUTH_SEA,0.2435897435897435,0.2839506172839506,0.2717391304347826,0.1969696969696969,0.3452380952380952,1.0,3,1,1
SOUTH,AIR,1,EAST,AIR,0,SOUTH,AIR,1,SOUTH,AIR,0,EAST,SEA,0,1,1,0,0,1,0,1,MEDIUM,0,RAIN,0,NIGHT,2,RURAL,192.4847287978501,LOW,0.62,750,SOUTH_AIR,EAST_AIR,SOUTH_AIR,SOUTH_AIR,EAST_SEA,0.2702702702702703,0.2790697674418604,0.2602739726027397,0.2891566265060241,0.2988505747126437,1.0,3,1,1
SOUTH,ROAD,1,SOUTH,SEA,1,EAST,AIR,1,SOUTH,SEA,1,EAST,SEA,0,1,1,0,0,0,0,1,LOW,1,RAIN,0,MORNING,1,URBAN,34.59335742983884,LOW,0.0,750,SOUTH_ROAD,SOUTH_SEA,EAST_AIR,SOUTH_SEA,EAST_SEA,0.3214285714285714,0.3163265306122449,0.3835616438356164,0.2183908045977011,0.2988505747126437,1.0,3,1,1
SOUTH,SEA,0,EAST,SEA,1,SOUTH,AIR,1,SOUTH,SEA,1,SOUTH,SEA,1,1,1,0,0,0,1,1,LOW,0,CLEAR,0,EVENING,2,URBAN,99.26289562144272,MODERATE,0.57,750,SOUTH_SEA,EAST_SEA,SOUTH_AIR,SOUTH_SEA,SOUTH_SEA,0.3164556962025316,0.3424657534246575,0.2602739726027397,0.2183908045977011,0.3452380952380952,1.2,3,1,1
NORTH,ROAD,1,NORTH,AIR,1,WEST,SEA,0,SOUTH,AIR,0,NORTH,AIR,0,0,0,0,1,0,0,0,LOW,0,CLEAR,0,MORNING,1,URBAN,31.24454170118176,LOW,0.55,250,NORTH_ROAD,NORTH_AIR,WEST_SEA,SOUTH_AIR,NORTH_AIR,0.2926829268292683,0.2790697674418604,0.35,0.2891566265060241,0.325,1.0,3,1,0
NORTH,SEA,1,NORTH,SEA,0,SOUTH,SEA,0,NORTH,AIR,0,NORTH,ROAD,1,0,0,1,1,0,1,1,MEDIUM,0,CLEAR,0,EVENING,3,RURAL,185.87840479673773,LOW,0.82,100,WEST_SEA,NORTH_SEA,SOUTH_SEA,NORTH_AIR,NORTH_ROAD,0.2926829268292683,0.4375,0.2826086956521739,0.3116883116883117,0.3103448275862069,1.0,3,1,1
SOUTH,ROAD,1,SOUTH,AIR,1,NORTH,AIR,0,SOUTH,ROAD,0,NORTH,SEA,1,1,1,0,1,1,1,1,HIGH,0,SNOW,1,MORNING,4,MIXED,136.9975681142197,LOW,0.0,500,SOUTH_ROAD,SOUTH_SEA,NORTH_AIR,SOUTH_ROAD,NORTH_SEA,0.3214285714285714,0.3,0.2602739726027397,0.2244897959183673,0.3246753246753247,1.0,3,1,2
EAST,ROAD,1,WEST,AIR,0,WEST,SEA,1,WEST,ROAD,0,SOUTH,AIR,0,1,1,0,1,0,1,1,MEDIUM,0,RAIN,0,EVENING,3,RURAL,298.30838877706697,MODERATE,0.52,250,EAST_ROAD,WEST_AIR,WEST_SEA,WEST_ROAD,SOUTH_AIR,0.3026315789473684,0.2790697674418604,0.35,0.3563218390804598,0.3375,1.2,3,1,2
SOUTH,AIR,1,SOUTH,ROAD,0,EAST,AIR,1,EAST,SEA,0,SOUTH,ROAD,1,0,0,1,0,1,0,0,LOW,0,RAIN,0,EVENING,2,URBAN,31.48994311914721,LOW,0.51,100,SOUTH_AIR,SOUTH_SEA,EAST_AIR,EAST_SEA,SOUTH_ROAD,0.2702702702702703,0.3,0.3835616438356164,0.2391304347826087,0.2988505747126437,1.0,3,1,0
WEST,AIR,1,SOUTH,AIR,1,NORTH,ROAD,1,NORTH,ROAD,1,NORTH,AIR,1,1,1,0,1,0,1,1,LOW,0,CLEAR,0,MORNING,3,URBAN,87.65173697889057,MODERATE,0.39,100,WEST_SEA,SOUTH_AIR,NORTH_ROAD,NORTH_ROAD,NORTH_AIR,0.2926829268292683,0.3,0.3289473684210526,0.2688172043010752,0.325,1.2,3,1,3
WEST,ROAD,0,NORTH,SEA,1,SOUTH,ROAD,1,WEST,AIR,0,WEST,AIR,0,1,0,1,1,0,1,1,MEDIUM,0,SNOW,0,EVENING,3,RURAL,365.5949075910627,HIGH,0.23,250,WEST_ROAD,NORTH_SEA,SOUTH_ROAD,WEST_AIR,WEST_AIR,0.2435897435897435,0.4375,0.2888888888888888,0.3218390804597701,0.3409090909090909,1.5,3,1,2
SOUTH,AIR,0,NORTH,AIR,0,SOUTH,ROAD,0,WEST,ROAD,1,EAST,AIR,0,1,1,0,0,1,1,1,MEDIUM,0,CLEAR,0,EVENING,3,RURAL,397.2665042704154,MODERATE,0.0,100,SOUTH_AIR,NORTH_AIR,WEST_AIR,WEST_ROAD,EAST_AIR,0.2702702702702703,0.2790697674418604,0.2826086956521739,0.3563218390804598,0.2988505747126437,1.2,3,1,1
NORTH,SEA,0,WEST,ROAD,0,SOUTH,SEA,0,NORTH,AIR,0,EAST,ROAD,1,0,0,0,1,1,0,0,MEDIUM,0,RAIN,0,EVENING,2,MIXED,167.9517521623328,MODERATE,0.78,100,NORTH_SEA,WEST_ROAD,SOUTH_SEA,NORTH_AIR,EAST_ROAD,0.2894736842105263,0.2790697674418604,0.2826086956521739,0.3116883116883117,0.2988505747126437,1.2,3,1,0
NORTH,SEA,0,NORTH,SEA,1,NORTH,ROAD,1,NORTH,SEA,1,NORTH,SEA,0,1,1,1,1,0,1,1,MEDIUM,0,STORM,1,MORNING,4,MIXED,109.1714417855053,LOW,0.02,250,NORTH_SEA,NORTH_SEA,NORTH_ROAD,NORTH_SEA,NORTH_SEA,0.2894736842105263,0.4375,0.3289473684210526,0.1969696969696969,0.3246753246753247,1.0,3,1,2
SOUTH,AIR,0,WEST,SEA,1,WEST,AIR,1,EAST,AIR,1,WEST,SEA,0,1,0,1,1,1,1,1,LOW,0,RAIN,0,NIGHT,4,URBAN,41.98461118171655,LOW,0.0,100,SOUTH_AIR,WEST_SEA,WEST_AIR,EAST_AIR,WEST_SEA,0.2702702702702703,0.2839506172839506,0.2842105263157894,0.2528735632183908,0.4,1.0,3,1,3
WEST,SEA,1,SOUTH,AIR,1,EAST,ROAD,1,NORTH,ROAD,1,WEST,AIR,0,0,0,0,1,1,1,1,HIGH,0,RAIN,0,EVENING,3,MIXED,64.50146744700794,HIGH,0.59,100,WEST_SEA,SOUTH_AIR,EAST_ROAD,NORTH_ROAD,WEST_AIR,0.2435897435897435,0.3,0.2602739726027397,0.2688172043010752,0.3409090909090909,1.5,3,1,2
WEST,AIR,0,EAST,ROAD,0,WEST,ROAD,0,SOUTH,ROAD,1,SOUTH,AIR,1,1,0,1,1,1,1,1,MEDIUM,0,STORM,0,EVENING,4,RURAL,360.5641370512159,MODERATE,0.35,250,WEST_AIR,EAST_ROAD,WEST_ROAD,SOUTH_ROAD,SOUTH_AIR,0.3461538461538461,0.2790697674418604,0.2717391304347826,0.2244897959183673,0.3375,1.2,3,1,2
WEST,ROAD,1,WEST,ROAD,0,NORTH,ROAD,0,EAST,SEA,0,EAST,ROAD,1,1,0,0,0,0,1,1,MEDIUM,0,CLEAR,0,MORNING,1,URBAN,34.47547535157679,HIGH,0.18,500,WEST_ROAD,WEST_ROAD,NORTH_ROAD,EAST_SEA,EAST_ROAD,0.2435897435897435,0.2790697674418604,0.3289473684210526,0.2391304347826087,0.2988505747126437,1.5,3,1,1
SOUTH,SEA,1,WEST,ROAD,1,NORTH,AIR,1,NORTH,AIR,0,SOUTH,SEA,1,1,1,1,1,1,0,1,MEDIUM,0,CLEAR,0,NIGHT,4,RURAL,397.6883271593205,MODERATE,0.55,100,SOUTH_SEA,WEST_ROAD,NORTH_AIR,NORTH_AIR,SOUTH_SEA,0.3164556962025316,0.2790697674418604,0.2602739726027397,0.3116883116883117,0.3452380952380952,1.2,3,1,3
SOUTH,ROAD,1,SOUTH,SEA,0,WEST,SEA,1,EAST,AIR,0,NORTH,AIR,0,0,1,0,0,0,0,1,HIGH,0,SNOW,0,EVENING,1,MIXED,182.99063228607,MODERATE,1.0,100,SOUTH_ROAD,SOUTH_SEA,WEST_SEA,EAST_AIR,NORTH_AIR,0.3214285714285714,0.3,0.35,0.2528735632183908,0.325,1.2,3,1,1
EAST,SEA,0,EAST,SEA,0,SOUTH,ROAD,1,NORTH,ROAD,1,NORTH,ROAD,1,1,0,1,1,1,1,1,MEDIUM,0,CLEAR,0,MORNING,4,MIXED,124.54452243587454,MODERATE,0.16,100,EAST_SEA,EAST_SEA,SOUTH_ROAD,NORTH_ROAD,NORTH_ROAD,0.2435897435897435,0.3424657534246575,0.2888888888888888,0.2688172043010752,0.3103448275862069,1.2,3,1,3
WEST,SEA,1,EAST,ROAD,1,SOUTH,ROAD,1,WEST,ROAD,1,EAST,ROAD,1,0,1,0,0,0,1,1,HIGH,0,CLEAR,0,MORNING,2,MIXED,192.7105013309985,MODERATE,0.97,100,WEST_SEA,EAST_ROAD,SOUTH_ROAD,WEST_ROAD,EAST_ROAD,0.2435897435897435,0.2790697674418604,0.2888888888888888,0.3563218390804598,0.2988505747126437,1.2,3,1,2
WEST,AIR,0,EAST,ROAD,1,EAST,ROAD,0,SOUTH,SEA,1,WEST,ROAD,1,1,0,1,1,1,1,1,LOW,0,CLEAR,0,MORNING,4,URBAN,70.07949093623233,HIGH,0.27,750,WEST_AIR,EAST_ROAD,EAST_ROAD,SOUTH_SEA,WEST_ROAD,0.3461538461538461,0.2790697674418604,0.2602739726027397,0.2183908045977011,0.3555555555555555,1.5,3,1,3
WEST,AIR,1,WEST,AIR,0,SOUTH,AIR,0,NORTH,SEA,1,SOUTH,ROAD,0,1,1,1,0,1,0,1,MEDIUM,0,CLEAR,0,MORNING,3,RURAL,403.8401811452978,MODERATE,0.68,250,WEST_AIR,WEST_AIR,SOUTH_AIR,NORTH_SEA,SOUTH_ROAD,0.3461538461538461,0.2790697674418604,0.2602739726027397,0.1969696969696969,0.2988505747126437,1.2,3,1,2
WEST,ROAD,1,SOUTH,SEA,0,SOUTH,ROAD,0,NORTH,ROAD,1,WEST,AIR,1,1,1,1,1,1,1,1,MEDIUM,1,RAIN,0,EVENING,5,RURAL,228.55420014283123,LOW,0.0,100,WEST_SEA,SOUTH_SEA,SOUTH_ROAD,NORTH_ROAD,WEST_AIR,0.2926829268292683,0.3163265306122449,0.2888888888888888,0.2688172043010752,0.3409090909090909,1.0,3,1,3
NORTH,SEA,0,SOUTH,SEA,1,SOUTH,SEA,0,EAST,SEA,1,EAST,AIR,1,0,0,0,0,1,0,1,LOW,0,CLEAR,0,NIGHT,1,URBAN,11.045848591729058,HIGH,0.7,250,NORTH_SEA,SOUTH_SEA,SOUTH_SEA,EAST_SEA,EAST_AIR,0.2894736842105263,0.3163265306122449,0.2826086956521739,0.2391304347826087,0.2988505747126437,1.5,3,1,1
